Outcome,Patch,Blue1,Blue2,Blue3,Blue4,Blue5,Red1,Red2,Red3,Red4,Red5
1,13.01,JaxTop,PoppyJungle,TaliyahMid,EzrealBot,KarmaSupport,SejuaniTop,ViegoJungle,SyndraMid,ZeriBot,YuumiSupport
0,13.01,K'SanteTop,Xin ZhaoJungle,RyzeMid,LucianBot,NamiSupport,GwenTop,ViJungle,IreliaMid,DravenBot,AmumuSupport
1,13.01,AatroxTop,WukongJungle,SyndraMid,VarusBot,Renata GlascSupport,CamilleTop,AmumuJungle,YoneMid,JhinBot,KarmaSupport
0,13.01,SejuaniTop,ViJungle,AkaliMid,TwitchBot,LuluSupport,FioraTop,ZacJungle,VeigarMid,VarusBot,TaricSupport
1,13.01,FioraTop,SejuaniJungle,LeBlancMid,XayahBot,AlistarSupport,AatroxTop,MordekaiserJungle,VexMid,VarusBot,LeonaSupport
0,13.01,FioraTop,ViJungle,VexMid,ZiggsBot,Renata GlascSupport,RenektonTop,SejuaniJungle,SylasMid,ZeriBot,KarmaSupport
0,13.01,FioraTop,WukongJungle,SwainMid,JhinBot,LuxSupport,GragasTop,PoppyJungle,JayceMid,VarusBot,KarmaSupport
1,13.01,KennenTop,GravesJungle,SyndraMid,VarusBot,NautilusSupport,K'SanteTop,Xin ZhaoJungle,EkkoMid,JhinBot,KarmaSupport
1,13.01,AatroxTop,ViJungle,AhriMid,VarusBot,HeimerdingerSupport,OrnnTop,Dr. MundoJungle,RyzeMid,JhinBot,KarmaSupport
0,13.01,JaxTop,SejuaniJungle,AkaliMid,Kog'MawBot,LuluSupport,OlafTop,ViegoJungle,SylasMid,VarusBot,LeonaSupport
1,13.01,RenektonTop,SejuaniJungle,GalioMid,DravenBot,Renata GlascSupport,OrnnTop,WukongJungle,SylasMid,Kai'SaBot,BlitzcrankSupport
0,13.01,SejuaniTop,Jarvan IVJungle,AkaliMid,LucianBot,NamiSupport,K'SanteTop,WukongJungle,RyzeMid,DravenBot,NautilusSupport
1,13.01,YoneTop,ZacJungle,KassadinMid,VarusBot,ZileanSupport,OlafTop,WukongJungle,SylasMid,CaitlynBot,HeimerdingerSupport
0,13.01,GwenTop,TrundleJungle,AkaliMid,CaitlynBot,KarmaSupport,K'SanteTop,ViJungle,AhriMid,LucianBot,NamiSupport
0,13.01,SettTop,LilliaJungle,SyndraMid,SivirBot,YuumiSupport,GangplankTop,WukongJungle,AzirMid,VarusBot,HeimerdingerSupport
0,13.01,K'SanteTop,ViJungle,RyzeMid,Kai'SaBot,NautilusSupport,FioraTop,MaokaiJungle,AzirMid,VarusBot,Renata GlascSupport
